"","taxon","parent_taxon"
"440","Paracapnia","Capniinae"
"441","Strophopteryx","Brachypteryinae"
"442","Taenionema",NA
"443","Oemopteryx","Brachypteryinae"
"444","Bolotoperla","Brachypteryinae"
"445","Doddsia","Brachypteryinae"
"446","Leuctridae","Euholognatha"
"447","Despaxia","Leuctrinae"
"448","Leuctra","Leuctrinae"
"449","Megaleuctra","Megaleuctrinae"
"450","Perlomia",NA
"451","Paraleuctra","Leuctrinae"
"452","Zealeuctra","Leuctrinae"
"453","Moselia","Leuctrinae"
"454","Setipalpia",NA
"455","Systellognatha","Plecoptera"
"456","Perlidae","Systellognatha"
"457","Perlodinae","Perlodidae"
"458","Acroneuriinae","Perlidae"
"459","Acroneuria","Acroneuriini"
"460","Claassenia","Perlini"
"461","Adelungia",NA
"462","Beloneuria","Acroneuriini"
"463","Eccoptura","Acroneuriini"
"464","Neoperla","Neoperlini"
"465","Attaneuria","Acroneuriini"
"466","Togoperla","Perlidae"
"467","Chloroperla","Perlidae"
"468","Isopteryx",NA
"469","Paragnetina","Perlini"
"470","Banksiana",NA
"471","Banksiella",NA
"472","Hesperoperla","Acroneuriini"
"473","Agnetina","Perlini"
"474","Harrisiola",NA
"475","Neophasganophora",NA
"476","Phasganophora",NA
"477","Calineuria","Acroneuriini"
"478","Hansonoperla","Acroneuriini"
"479","Anacroneuria","Anacroneuriini"
"480","Perlodidae","Systellognatha"
"481","Isoperla","Isoperlinae"
"482","Megahelus",NA
"483","Nanoperla",NA
"484","Occiperla",NA
"485","Perliola",NA
"486","Perliphanes",NA
"487","Walshiola",NA
"488","Isogenus","Perlodidae"
"489","Hydroperla",NA
"490","Helopicus","Perlodini"
"491","Diploplera",NA
"492","Arcynopteryx","Arcynopterygini"
"493","Archynopteryx",NA
"494","Diura","Perlodini"
"495","Dolkrila",NA
"496","Remenus","Diploperlini"
"497","Skwala","Arcynopterygini"
"498","Hydroperla","Perlodini"
"499","Megarcys","Arcynopterygini"
"500","Clioperla","Isoperlinae"
"501","Doroneuria","Acroneuriini"
